LoanID,Jurisdiction,Borrower,Sector,OriginalAmount(USDk),OutstandingAmount(USDk),EAD(USDk),Rating,PD,LGD,InterestRate(%),OriginationDate,MaturityDate,Stage,DaysPastDue,DefaultFlag
LON00000,BM,Burch Ltd,InvestmentHoldCo,505.59,482.65,485.56,BB,0.02,0.45,6.31,2022-10-22,2032-05-18,1,0,0
LON00001,JE,Cook PLC,Technology,599.15,535.15,538.42,BBB,0.005,0.45,5.63,2020-01-18,2024-04-14,1,0,0
LON00002,GU,"Alvarez, Williams and Weaver",RealEstate,569.3,467.4,473.55,BBB,0.005,0.35,5.68,2021-07-15,2027-05-08,3,0,0
LON00003,KY,Cardenas-Crawford,Shipping,225.24,194.45,199.07,AA,0.0005,0.6,4.69,2021-04-23,2031-04-14,1,90,0
LON00004,BM,Roberts-Melton,RealEstate,1280.18,1172.31,1215.49,AA,0.0005,0.35,6.82,2024-06-02,2027-04-06,2,90,0
LON00005,KY,"Montgomery, Vasquez and Wilson",Energy,2482.6,2123.88,2163.01,BBB,0.005,0.25,5.58,2020-07-02,2022-02-14,1,0,0
LON00006,BM,Gibson LLC,Hospitality,1058.65,1055.97,1057.56,AA,0.0005,0.35,8.16,2021-01-16,2025-12-18,1,30,0
LON00007,KY,"Price, Morris and Johnson",Energy,1189.46,1016.23,1031.97,B,0.05,0.6,6.11,2023-08-17,2029-05-11,1,90,0
LON00008,BM,"Phillips, Wilson and Kelly",Energy,765.92,636.4,656.65,BB,0.02,0.45,6.67,2024-02-16,2026-03-09,1,90,0
LON00009,BM,Sherman-Mason,RealEstate,351.89,323.92,334.89,A,0.001,0.25,3.82,2022-01-23,2029-10-15,1,60,0
LON00010,KY,Henry Ltd,RealEstate,726.35,568.68,571.78,BB,0.02,0.25,5.58,2024-06-05,2029-06-17,1,0,0
LON00011,BM,Mcfarland-Cummings,Retail,813.93,644.81,655.41,BBB,0.005,0.45,4.76,2020-06-15,2025-05-24,1,90,0
LON00012,GU,Zhang Inc,RealEstate,1022.65,970.58,1001.65,B,0.05,0.45,8.38,2023-11-02,2027-01-23,1,0,0
LON00013,JE,"Collins, Giles and Perry",Hospitality,887.69,857.35,879.81,A,0.001,0.25,4.87,2020-07-03,2025-12-17,1,30,0
LON00014,BM,"Henson, Burgess and Cooper",Shipping,1317.24,1147.05,1184.94,BBB,0.005,0.35,7.74,2021-04-27,2026-03-09,1,0,0
LON00015,BM,Henderson-Moore,RealEstate,738.5,702.61,733.21,B,0.05,0.45,5.7,2023-11-07,2032-02-05,1,90,0
LON00016,BM,Jones PLC,Shipping,1134.03,941.29,977.2,AAA,0.0001,0.25,3.6,2022-06-16,2025-06-13,1,90,0
LON00017,KY,Sanchez-Morales,Energy,1282.96,1253.07,1265.48,AAA,0.0001,0.45,7.19,2020-06-29,2029-08-06,1,0,0
LON00018,GU,Ward Ltd,Retail,1092.65,858.03,899.84,BBB,0.005,0.45,8.98,2022-12-23,2025-01-17,1,60,0
LON00019,KY,Turner Inc,RealEstate,1003.18,925.96,936.04,B,0.05,0.25,5.62,2019-12-27,2028-07-30,2,0,0
LON00020,GU,Hawkins-Bright,Retail,1763.23,1666.32,1722.32,B,0.05,0.6,8.34,2020-02-28,2027-02-13,1,0,0
LON00021,GU,"Rice, Dean and Gonzalez",InvestmentHoldCo,972.63,887.32,930.54,AAA,0.0001,0.25,5.65,2021-05-03,2027-06-10,1,30,0
LON00022,BM,Nelson-Pierce,InvestmentHoldCo,710.09,708.34,715.14,B,0.05,0.6,7.61,2020-02-23,2023-01-18,1,0,0
LON00023,GU,Rivera Group,RealEstate,2801.51,2770.87,2844.44,AAA,0.0001,0.35,3.2,2020-12-06,2023-01-05,2,0,0
