CF_ID,Jurisdiction,Product,InflowOutflow,Amount(USDk),TimeBucket,LCR_Weight,NSFR_Weight,Date
CF0000,BM,CorporateDeposit,Outflow,-165255.42,8-30d,1.0,0.6180952587228806,2022-12-25
CF0001,KY,LoanRepayment,Inflow,10885.47,31-90d,0.5,0.7952572644155245,2020-06-12
CF0002,BM,RetailDeposit,Inflow,95397.66,8-30d,1.0,0.8091973173971085,2021-09-17
CF0003,BM,CorporateDeposit,Outflow,-335245.43,91-180d,0.5,0.8288248887217473,2020-06-12
CF0004,BM,CommitmentDraw,Inflow,357135.98,>1y,0.0,0.4929345579234332,2019-08-27
CF0005,KY,SecurityMaturity,Inflow,183448.95,91-180d,0.5,0.5417497155701251,2023-09-28
CF0006,KY,RetailDeposit,Outflow,-147613.21,<2d,1.0,0.6873426468624652,2022-01-10
CF0007,BM,SecurityMaturity,Inflow,24228.93,91-180d,0.5,0.6429645753180341,2023-01-29
CF0008,KY,LoanRepayment,Inflow,300854.94,<2d,1.0,0.46452797818102187,2022-01-07
CF0009,BM,SecurityMaturity,Outflow,-58745.94,31-90d,0.5,0.5618212018480927,2023-09-20
CF0010,KY,CommitmentDraw,Outflow,-138925.63,<2d,1.0,0.5280311190336124,2021-10-10
CF0011,KY,SecurityMaturity,Inflow,212149.56,91-180d,0.5,0.3744185966936784,2022-07-29
CF0012,BM,LoanRepayment,Inflow,134377.27,181-365d,0.25,0.4208092262641978,2020-10-10
CF0013,BM,LoanRepayment,Outflow,-248832.76,>1y,0.0,0.926565608110482,2022-08-16
CF0014,GU,SecurityMaturity,Inflow,560248.86,91-180d,0.5,0.43343195049870276,2021-12-13
CF0015,KY,DerivativesCF,Inflow,366683.45,2-7d,1.0,0.029833988705247116,2021-02-03
CF0016,JE,CorporateDeposit,Inflow,209640.74,<2d,1.0,0.13519961792055513,2023-09-27
CF0017,KY,DerivativesCF,Outflow,-167479.72,181-365d,0.25,0.940977328381322,2022-12-23
CF0018,KY,RetailDeposit,Outflow,-25911.28,<2d,1.0,0.5575513792543051,2023-12-11
CF0019,JE,LoanRepayment,Outflow,-248225.31,8-30d,1.0,0.5810814132199786,2023-11-30
CF0020,KY,SecurityMaturity,Inflow,285438.76,2-7d,1.0,0.45019597148495083,2020-06-23
CF0021,KY,CommitmentDraw,Outflow,-68011.58,2-7d,1.0,0.9576310209062283,2021-06-26
CF0022,BM,CorporateDeposit,Inflow,213396.71,91-180d,0.5,0.9386443952550032,2021-01-16
CF0023,GU,DerivativesCF,Outflow,-341311.82,2-7d,1.0,0.5010049785181573,2020-10-05
CF0024,KY,SecurityMaturity,Inflow,62402.41,>1y,0.0,0.09375276737081228,2023-09-22
CF0025,BM,LoanRepayment,Outflow,-93815.33,2-7d,1.0,0.9285871334383089,2022-02-15
CF0026,KY,SecurityMaturity,Outflow,-255352.57,181-365d,0.25,0.9542613711940392,2023-06-14
CF0027,BM,SecurityMaturity,Outflow,-15703.44,91-180d,0.5,0.27802046390656654,2024-01-05
CF0028,BM,SecurityMaturity,Outflow,-41542.93,<2d,1.0,0.49273945711809786,2022-05-29
CF0029,BM,DerivativesCF,Outflow,-122011.96,31-90d,0.5,0.8682260697873696,2024-03-16
CF0030,JE,CorporateDeposit,Outflow,-314014.18,91-180d,0.5,0.2970605189915141,2021-09-30
CF0031,JE,CommitmentDraw,Inflow,382773.11,181-365d,0.25,0.9116656162460852,2022-10-14
CF0032,GU,CorporateDeposit,Outflow,-146695.39,>1y,0.0,0.846409909838498,2022-03-13
CF0033,KY,CommitmentDraw,Outflow,-11887.93,2-7d,1.0,0.2764369549098197,2022-06-13
CF0034,KY,RetailDeposit,Outflow,-14676.79,<2d,1.0,0.5684131267605466,2024-03-15
CF0035,BM,SecurityMaturity,Inflow,268171.07,181-365d,0.25,0.08111237100846813,2022-03-09
CF0036,BM,SecurityMaturity,Inflow,15076.47,>1y,0.0,0.6531186770650731,2020-12-05
CF0037,BM,SecurityMaturity,Outflow,-187502.36,>1y,0.0,0.09882855112411115,2024-01-28
CF0038,KY,RetailDeposit,Outflow,-330251.7,8-30d,1.0,0.022876078913529385,2021-04-27
CF0039,BM,RetailDeposit,Inflow,41734.89,>1y,0.0,0.825396603095157,2021-02-23
CF0040,KY,LoanRepayment,Outflow,-152822.3,<2d,1.0,0.47374252022778063,2019-10-26
CF0041,KY,LoanRepayment,Inflow,110347.84,181-365d,0.25,0.24726958738489424,2022-10-07
CF0042,JE,CommitmentDraw,Outflow,-237084.93,8-30d,1.0,0.674229671880119,2023-02-07
CF0043,BM,SecurityMaturity,Inflow,23759.98,<2d,1.0,0.4008217879609989,2019-07-15
CF0044,GU,SecurityMaturity,Inflow,56928.31,91-180d,0.5,0.1920293550185732,2023-10-08
CF0045,KY,SecurityMaturity,Outflow,-209508.55,181-365d,0.25,0.6164938873128776,2020-06-02
CF0046,GU,CommitmentDraw,Inflow,93005.12,8-30d,1.0,0.1400463112710867,2020-08-16
CF0047,GU,RetailDeposit,Outflow,-268709.22,2-7d,1.0,0.5596806847588824,2020-11-14
CF0048,BM,CommitmentDraw,Outflow,-65342.63,8-30d,1.0,0.25310352000997327,2023-10-07
CF0049,KY,DerivativesCF,Outflow,-248978.15,8-30d,1.0,0.39850702421084117,2021-04-19
CF0050,JE,SecurityMaturity,Inflow,283103.8,91-180d,0.5,0.9821495364259658,2020-08-25
CF0051,BM,SecurityMaturity,Inflow,341443.89,>1y,0.0,0.5806582652273015,2020-02-28
CF0052,BM,SecurityMaturity,Inflow,127082.38,2-7d,1.0,0.748725000423416,2022-04-10
